Year,Artist,Song,CompressedRatio
1993,swv,im so into you,75.958
1989,jody watley,real love,75.962
1997,mr president,coco jambo,75.962
1970,norman greenbaum,spirit in the sky,75.98
1979,earth wind  fire,after the love has gone,75.989
2010,usher featuring william,omg,76.008
2000,janet jackson,doesnt really matter,76.017
2014,maroon 5,animals,76.017
2015,maroon 5,animals,76.017
1992,right said fred,im too sexy,76.033
1970,the ides of march,vehicle,76.071
1988,debbie gibson,shake your love,76.071
2015,tove lo,talking body,76.071
2004,chingy featuring jweav,one call away,76.08
1978,alicia bridges,i love the nightlife,76.087
1979,alicia bridges,i love the nightlife,76.087
1991,chris isaak,wicked game,76.087
2012,one direction,what makes you beautiful,76.093
1984,kool  the gang,tonight,76.115
1975,war,why cant we be friends,76.124
2014,jeremih featuring yg,dont tell em,76.133
2011,lil wayne,how to love,76.142
1999,christina aguilera,genie in a bottle,76.149
1997,leann rimes,how do i live,76.157
1998,leann rimes,how do i live,76.157
2011,beyonce,best thing i never had,76.171
1997,r kelly,i believe i can fly,76.178
1969,the foundations,build me up buttercup,76.19
1977,kc and the sunshine band,keep it comin love,76.19
1976,jefferson starship,with your love,76.206
2002,busta rhymes featuring p diddy and pharrell,pass the courvoisier part ii,76.237
2011,adele,rolling in the deep,76.25
2012,adele,rolling in the deep,76.25
2011,foster the people,pumped up kicks,76.259
2007,bow wow featuring chris brown and johnt'a austin,shortie like mine,76.265
1970,aretha franklin,call me,76.293
1989,when in rome,the promise,76.301
2003,floetry,say yes,76.308
1984,debarge,time will reveal,76.316
1999,jesse powell,you,76.35
1997,sister hazel,all for you,76.353
1998,sister hazel,all for you,76.353
1993,meat loaf,id do anything for love but i wont do that,76.372
1994,meat loaf,id do anything for love but i wont do that,76.372
1969,the turtles,you showed me,76.374
2004,usher and alicia keys,my boo,76.389
2005,usher and alicia keys,my boo,76.389
1978,carly simon,you belong to me,76.415
1987,los lobos,la bamba,76.423
2013,one direction,best song ever,76.425
2014,kid ink featuring chris brown,show me,76.433
1990,the b52s,roam,76.451
2001,jennifer lopez,play,76.457
1975,the three degrees,when will i see you again,76.471
1982,dazz band,let it whip,76.471
1989,expose,what you dont know,76.471
1982,stevie wonder,do i do,76.485
1994,xscape,understanding,76.485
2004,jagged edge,walked outta heaven,76.492
2008,chris brown,with you,76.511
1992,mariah carey,make it happen,76.515
1981,cliff richard,a little in love,76.524
2000,christina aguilera,come on over baby all i want is you,76.556
1989,new kids on the block,you got it the right stuff,76.558
1974,rufus  chaka khan,tell me something good,76.562
1997,spice girls,wannabe,76.562
1979,peaches  herb,shake your groove thing,76.566
1977,climax blues band,couldnt get it right,76.567
1995,nicki french,total eclipse of the heart,76.575
1977,the jacksons,enjoy yourself,76.584
1976,silver convention,fly robin fly,76.596
2014,aloe blacc,the man,76.608
2014,charli xcx,boom clap,76.623
1994,babyface,never keeping secrets,76.628
1965,barbara mason,yes im ready,76.63
2008,ti,whatever you like,76.63
2009,ti,whatever you like,76.63
1998,master p featuring sons of funk,i got the hook up,76.636
2008,rihanna,dont stop the music,76.673
2008,jesse mccartney,leavin,76.674
1972,the staple singers,ill take you there,76.682
1971,richie havens,here comes the sun,76.684
2009,lady gaga,poker face,76.686
2007,hellogoodbye,here in your arms,76.695
1975,grand funk,bad time,76.699
2000,jagged edge,he cant love u,76.709
2003,aaliyah,miss you,76.715
2006,cassie,me  u,76.718
1981,gary wright,really wanna know you,76.724
2005,gwen stefani,hollaback girl,76.765
1991,tevin campbell,round and round,76.786
1992,paula abdul,blowing kisses in the wind,76.812
1985,kool  the gang,cherish,76.821
1989,milli vanilli,blame it on the rain,76.835
1990,milli vanilli,blame it on the rain,76.835
1979,olivia newtonjohn,a little more love,76.838
1987,levert,casanova,76.844
1999,whitney houston featuring faith evans and kelly price,heartbreak hotel,76.856
1988,rick astley,never gonna give you up,76.86
2013,lady gaga,applause,76.866
2006,ray j,one wish,76.879
1988,bon jovi,bad medicine,76.888
1983,culture club,time clock of the heart,76.898
2010,rihanna,only girl in the world,76.904
2011,rihanna,only girl in the world,76.904
1997,aaliyah,the one i gave my heart to,76.923
1998,aaliyah,the one i gave my heart to,76.923
2015,justin bieber,what do you mean,76.94
1968,tommy james and the shondells,mony mony,76.953
1985,tears for fears,shout,76.966
1999,jennifer lopez,if you had my love,76.975
2006,chris brown,say goodbye,76.976
2008,britney spears,womanizer,76.98
2009,britney spears,womanizer,76.98
1983,michael jackson,beat it,76.982
2004,beyonce,me myself and i,76.991
1981,blondie,the tide is high,76.995
2013,justin timberlake,mirrors,76.997
1995,boyz ii men,on bended knee,77.009
1992,karyn white,the way i feel about you,77.011
1985,whitney houston,you give good love,77.023
1989,def leppard,armageddon it,77.053
1990,babyface,whip appeal,77.083
2012,cah out,cashin out,77.083
2013,baauer,harlem shake,77.083
2001,112,peaches  cream,77.087
1995,jade,every day of the week,77.102
2014,rixton,me and my broken heart,77.105
1998,jimmy ray,are you jimmy ray,77.112
1998,next,too close,77.119
2008,lil wayne featuring bobby valentino,mrs officer,77.16
1999,702,where my girls at,77.174
1984,christine mcvie,got a hold on me,77.178
2000,kandi,dont think im not,77.186
1997,savage garden,i want you,77.203
2011,edward maya featuring vika jigulina,stereo love,77.221
1978,ltd,every time i turn around back in love again,77.231
2008,danity kane,damaged,77.232
2015,natalie la rose featuring jeremih,somebody,77.238
2007,fergie featuring william,fergalicious,77.239
2013,the script featuring william,hall of fame,77.243
1981,leo sayer,more than i can say,77.251
1984,corey hart,sunglasses at night,77.287
1996,celine dion,its all coming back to me now,77.358
1997,celine dion,its all coming back to me now,77.358
2008,neyo,closer,77.364
1970,the jackson 5,abc,77.367
2013,capital cities,safe and sound,77.372
1990,new kids on the block,step by step,77.419
1988,michael jackson,the way you make me feel,77.426
1996,color me badd,the earth the sun the rain,77.427
1976,hot chocolate,you sexy thing,77.429
2014,trey songz,na na,77.447
1988,george michael,monkey,77.453
1985,the honeydrippers,sea of love,77.5
1987,tiffany,i think were alone now,77.508
1969,lou christie,im gonna make you mine,77.517
2013,tim mcgraw featuring taylor swift and keith urban,highway dont care,77.518
2004,kelis,milkshake,77.523
1994,tevin campbell,im ready,77.524
1992,michael jackson,in the closet,77.64
1988,ub40,red red wine,77.644
1969,the guess who,these eyes,77.66
1996,amber,this is your night,77.694
2005,fall out boy,sugar were goin down,77.698
2006,fall out boy,sugar were goin down,77.698
2010,3oh3 featuring keha,my first kiss,77.698
2007,akon,dont matter,77.709
2012,the wanted,glad you came,77.742
1990,soul ii soul featuring caron wheeler,back to life however do you want me,77.749
1977,the floaters,float on,77.752
2014,pharrell williams,happy,77.756
2014,justin timberlake,not a bad thing,77.778
2007,justin timberlake,what goes around comes around,77.791
1998,lsg,my body,77.797
2012,rihanna,you da one,77.801
2006,cherish featuring sean p,do it to it,77.809
1986,miami sound machine,bad boy,77.824
2012,david guetta featuring nicki minaj,turn me on,77.833
2013,drake featuring majid jordan,hold on were going home,77.848
2014,drake featuring majid jordan,hold on were going home,77.848
2014,paramore,aint it fun,77.857
1990,snap,the power,77.92
2015,jason derulo,want to want me,77.922
2005,mariah carey,its like that,77.95
1998,m'ya and sisqo,its all about me,77.962
2014,taylor swift,shake it off,77.969
2015,taylor swift,shake it off,77.969
2000,pink,most girls,78.004
2001,pink,most girls,78.004
1991,the klf,3 am eternal,78.005
1982,the pointer sisters,should i do it,78.035
2013,icona pop featuring charli xcx,i love it,78.041
1965,the beatles,eight days a week,78.049
1992,cece peniston,finally,78.066
1993,silk,freak me,78.102
1973,war,the cisco kid,78.14
2009,justin bieber,one time,78.158
2011,britney spears,till the world ends,78.169
1987,ready for the world,love you down,78.191
1966,the outsiders,time wont let me,78.205
2001,ginuwine,differences,78.207
2002,ginuwine,differences,78.207
1983,the police,every breath you take,78.209
2003,nivea featuring jagged edge,dont mess with my man,78.223
1979,wings,goodnight tonight,78.226
1987,jody watley,looking for a new love,78.23
1975,the doobie brothers,black water,78.231
1996,swv,youre the one,78.251
1965,the beach boys,help me rhonda,78.261
1989,soul ii soul,keep on movin,78.31
1991,tracie spencer,this house,78.326
1967,the beatles,all you need is love,78.341
2011,pitbull featuring tpain,hey baby drop it to the floor,78.374
1994,tevin campbell,can we talk,78.378
2012,rihanna,diamonds,78.386
2013,rihanna,diamonds,78.386
1965,the beatles,ticket to ride,78.388
1970,melanie,lay down candles in the rain,78.395
2009,michael franti  spearhead featuring cherine anderson,say hey i love you,78.403
1985,philip bailey and phil collins,easy lover,78.415
1976,kiss,rock and roll all nite live,78.423
1984,culture club,miss me blind,78.426
2002,brandy,what about us,78.438
1996,adam clayton and larry mullen,theme from mission impossible,78.481
2014,maroon 5,maps,78.49
2000,m'ya,case of the ex,78.493
2001,m'ya,case of the ex,78.493
1995,real mccoy,come and get your love,78.507
1974,mocedades,eres tu,78.529
2002,mary j blige,no more drama,78.582
1993,janet jackson,thats the way love goes,78.589
1980,captain  tennille,do that to me one more time,78.607
2008,lil wayne featuring static major,lollipop,78.614
1992,snap,rhythm is a dancer,78.622
1993,snap,rhythm is a dancer,78.622
2008,santana featuring chad kroeger,into the night,78.624
1978,the trammps,disco inferno,78.626
1976,kc and the sunshine band,shake shake shake shake your booty,78.641
1975,bad company,feel like makin love,78.661
2006,natasha bedingfield,unwritten,78.67
1997,usher,you make me wanna,78.709
1998,usher,you make me wanna,78.709
1996,112 featuring the notorious big and mase,only you,78.71
2007,avril lavigne,girlfriend,78.743
1965,the kinks,all day and all of the night,78.756
1990,lisa stansfield,all around the world,78.767
2015,nick jonas,chains,78.769
2008,sean kingston,take you there,78.799
1993,spin doctors,two princes,78.903
1979,patrick hernandez,born to be alive,78.909
2012,calvin harris featuring neyo,lets go,78.924
1973,gladys knight  the pips,midnight train to georgia,78.938
2006,pussycat dolls featuring snoop dogg,buttons,78.938
1981,stevie wonder,i aint gonna stand for it,79.004
1984,culture club,church of the poison mind,79.006
2010,the black eyed peas,rock that body,79.01
1998,janet jackson featuring blackstreet,i get lonely,79.021
2009,akon,right now na na na,79.035
1990,michael bolton,how can we be lovers,79.052
1994,changing faces,stroke you up,79.132
2000,destinys child,jumpin jumpin,79.139
2002,daniel bedingfield,gotta get thru this,79.144
2010,timbaland featuring justin timberlake,carry out,79.148
1965,the kinks,tired of waiting for you,79.167
1983,musical youth,pass the dutchie,79.196
1981,eddie rabbitt,i love a rainy night,79.205
1977,brick,dazz,79.221
2005,mike jones,back then,79.225
2009,britney spears,if u seek amy,79.239
1977,hall  oates,rich girl,79.255
2008,natasha bedingfield,pocketful of sunshine,79.263
2002,dirty vegas,days go by,79.275
1994,toni braxton,breathe again,79.286
1988,keith sweat,i want her,79.304
2012,neyo,let me love you until you learn to love yourself,79.335
2013,neyo,let me love you until you learn to love yourself,79.335
2015,fifth harmony featuring kid ink,worth it,79.348
1994,tevin campbell,always in my heart,79.371
1983,michael jackson,wanna be startin somethin,79.408
1967,the association,windy,79.412
2014,jason derulo,trumpets,79.42
2006,pussycat dolls featuring william,beep,79.427
2002,sean paul,gimme the light,79.445
2009,soulja boy tell em featuring sammie,kiss me thru the phone,79.447
1976,bee gees,you should be dancing,79.452
1967,the monkees,a little bit me a little bit you,79.478
2013,onerepublic,counting stars,79.518
2014,onerepublic,counting stars,79.518
1968,the 5th dimension,stoned soul picnic,79.524
1974,redbone,come and get your love,79.53
1970,the pipkins,gimme dat ding,79.538
2008,keyshia cole,heaven sent,79.599
2007,unk,walk it out,79.612
2010,far east movement featuring the cataracs and dev,like a g6,79.615
2011,far east movement featuring the cataracs and dev,like a g6,79.615
1998,voices of theory,say it,79.644
2004,finger eleven,one thing,79.651
1979,the babys,everytime i think of you,79.725
1965,jay and the americans,cara mia,79.73
1995,diana king,shy guy,79.747
2005,amerie,1 thing,79.775
2010,lady gaga,bad romance,79.789
1976,vicki sue robinson,turn the beat around,79.8
1965,the dave clark five,i like it like that,79.805
2011,lady gaga,the edge of glory,79.81
2001,destinys child,survivor,79.812
1990,seduction,two to make it right,79.819
1980,the sos band,take your time do it right,79.897
2012,rihanna,where have you been,79.915
1985,power station,some like it hot,79.934
2009,the black eyed peas,i gotta feeling,79.965
2010,the black eyed peas,i gotta feeling,79.965
1978,peter brown,dance with me,80
2000,savage garden,crash and burn,80
2002,aaliyah,rock the boat,80
2009,beyonce,single ladies put a ring on it,80.031
1976,wings,let em in,80.124
1993,inner circle,bad boys,80.124
2008,pussycat dolls,when i grow up,80.125
1989,the cure,lovesong,80.137
1998,inoj,love you down,80.165
2002,kylie minogue,cant get you out of my head,80.216
1984,madonna,lucky star,80.226
2009,lady gaga,lovegame,80.226
1979,bee gees,tragedy,80.26
1968,creedence clearwater revival,suzie q,80.282
1989,madonna,like a prayer,80.306
2015,calvin harris and disciples,how deep is your love,80.311
1998,all saints,never ever,80.346
1996,r kelly,you remind me of something,80.354
1967,the esquires,get on up,80.405
1998,monica,the first night,80.409
1995,boyz ii men,thank you,80.426
1992,en vogue,my lovin youre never gonna get it,80.439
2014,ellie goulding,burn,80.467
1976,bay city rollers,saturday night,80.503
2002,jennifer lopez featuring nas,im gonna be alright,80.515
1993,jade,one woman,80.519
1976,the four seasons,december 1963 oh what a night,80.529
1994,the four seasons,december 1963 oh what a night,80.529
1971,delaney  bonnie  friends,never ending song of love,80.531
1979,cheryl lynn,got to be real,80.537
1989,sheena easton,the lover in me,80.556
1989,bobby brown,roni,80.56
1991,paula abdul,the promise of a new day,80.585
1979,cheap trick,i want you to want me,80.608
2003,sean paul,get busy,80.618
